verbs,questionnarie,q_id,verb_id,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,participant,session,date,expName,frameRate,
旅行する,恥知らずだ-恥ずかしがりだ,10,38,0,0,0,749,0,15.969,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
楽しむ,心が狭い-心が広い,6,39,0,1,1,765,1,2.736,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
持つ,軽薄だ-重厚だ,11,27,0,2,2,530,0,2.515,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
行く,軽薄だ-重厚だ,11,26,0,3,3,510,0,2.05,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
落ち込む,責任感がない-責任感がある,8,51,0,4,4,1007,0,2.383,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
任す,恥知らずだ-恥ずかしがりだ,10,60,0,5,5,1189,0,2.153,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
参加する,軽率だ-慎重だ,9,48,0,6,6,948,0,2.437,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
任す,責任感がない-責任感がある,8,60,0,7,7,1187,1,3.522,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
行う,感じが悪い-感じが良い,14,34,0,8,8,673,0,2.568,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
沈む,近づきがたい-人懐っこい,4,56,0,9,9,1103,-1,3.58,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
困る,恥知らずだ-恥ずかしがりだ,10,21,0,10,10,409,0,2.29,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
話す,無分別だ-分別がある,15,18,0,11,11,354,0,2.755,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
休む,無気力だ-意欲的だ,17,49,0,12,12,976,-1,2.75,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
決める,自信がない-自信がある,18,43,0,13,13,857,3,12.464,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
交流する,親しみにくい-親しみやすい,16,33,0,14,14,655,3,3.248,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
相談する,近づきがたい-人懐っこい,4,10,0,15,15,183,1,3.317,,001,2018_Dec_06_1508,verb_impression,59.91689154031688,
