verbs,questionnarie,q_id,verb_id,negative_flag,pca_cat,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,participant,session,date,expName,frameRate,
交流しない,心の広い-心の狭い,2,48,1,extraversion,0,0,0,283,2,43.827,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
計画しない,非社交的な-社交的な,3,55,1,responsibility,0,1,1,326,-1,6.647,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
断る,感じの悪い-感じの良い,1,5,0,approachableness,0,2,2,24,-2,6.996,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
飲む,心の広い-心の狭い,2,13,0,extraversion,0,3,3,73,0,5.147,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
行わない,軽率な-慎重な,6,60,1,responsibility,0,4,4,359,1,5.35,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
聞く,感じの悪い-感じの良い,1,6,0,approachableness,0,5,5,30,2,3.679,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
交流しない,積極的な-消極的な,4,48,1,extraversion,0,6,6,285,3,5.781,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
気に入る,責任感のある-責任感のない,5,2,0,approachableness,0,7,7,10,-1,9.555,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
近寄らない,積極的な-消極的な,4,58,1,responsibility,0,8,8,345,1,25.99,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
買わない,感じの悪い-感じの良い,1,52,1,responsibility,0,9,9,306,1,6.167,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
進む,感じの悪い-感じの良い,1,12,0,extraversion,0,10,10,66,2,3.353,,001,2019_Apr_15_1637,verb_impression,59.88335919277816,
